iter	Passed	Remaining
753	4658	1519
754	4664	1513
755	4670	1507
756	4676	1501
757	4682	1495
758	4688	1488
759	4694	1482
760	4699	1476
761	4705	1469
762	4711	1463
763	4716	1456
764	4721	1450
765	4727	1444
766	4733	1437
767	4738	1431
768	4744	1425
769	4750	1419
770	4756	1412
771	4763	1406
772	4769	1400
773	4774	1394
774	4780	1387
775	4786	1381
776	4792	1375
777	4797	1369
778	4803	1362
779	4809	1356
780	4815	1350
781	4821	1343
782	4826	1337
783	4832	1331
784	4838	1325
785	4843	1318
786	4849	1312
787	4856	1306
788	4862	1300
789	4868	1294
790	4873	1287
791	4879	1281
792	4885	1275
793	4891	1269
794	4897	1262
795	4904	1256
796	4910	1250
797	4916	1244
798	4921	1238
799	4928	1232
800	4933	1225
801	4939	1219
802	4945	1213
803	4951	1207
804	4957	1200
805	4963	1194
806	4969	1188
807	4975	1182
808	4981	1176
809	4986	1169
810	4992	1163
811	4998	1157
812	5005	1151
813	5011	1145
814	5017	1138
815	5023	1132
816	5030	1126
817	5036	1120
818	5042	1114
819	5047	1108
820	5053	1101
821	5059	1095
822	5065	1089
823	5071	1083
824	5078	1077
825	5084	1070
826	5089	1064
827	5095	1058
828	5102	1052
829	5107	1046
830	5113	1040
831	5120	1033
832	5126	1027
833	5132	1021
834	5139	1015
835	5145	1009
836	5151	1003
837	5157	996
838	5163	990
839	5169	984
840	5174	978
841	5180	972
842	5186	965
843	5192	959
844	5198	953
845	5204	947
846	5210	941
847	5216	935
848	5222	928
849	5229	922
850	5236	916
851	5243	910
852	5249	904
853	5254	898
854	5260	892
855	5266	885
856	5272	879
857	5278	873
858	5283	867
859	5288	860
860	5294	854
861	5300	848
862	5306	842
863	5311	836
864	5317	829
865	5323	823
866	5329	817
867	5334	811
868	5340	805
869	5347	798
870	5353	792
871	5358	786
872	5364	780
873	5370	774
874	5376	768
875	5381	761
876	5387	755
877	5393	749
878	5399	743
879	5405	737
880	5411	730
881	5417	724
882	5422	718
883	5428	712
884	5434	706
885	5440	700
886	5446	693
887	5452	687
888	5458	681
889	5463	675
890	5469	669
891	5475	662
892	5480	656
893	5486	650
894	5491	644
895	5497	638
896	5503	631
897	5510	625
898	5516	619
899	5521	613
900	5527	607
901	5532	601
902	5538	594
903	5543	588
904	5549	582
905	5555	576
906	5561	570
907	5566	564
908	5572	557
909	5578	551
910	5584	545
911	5590	539
912	5595	533
913	5601	527
914	5607	520
915	5613	514
916	5619	508
917	5624	502
918	5631	496
919	5637	490
920	5643	484
921	5649	477
922	5655	471
923	5661	465
924	5666	459
925	5672	453
926	5677	447
927	5684	441
928	5689	434
929	5695	428
930	5700	422
931	5706	416
932	5712	410
933	5717	404
934	5723	397
935	5729	391
936	5734	385
937	5740	379
938	5746	373
939	5752	367
940	5758	361
941	5764	354
942	5769	348
943	5775	342
944	5781	336
945	5787	330
946	5793	324
947	5799	318
948	5805	312
949	5812	305
950	5818	299
951	5824	293
952	5831	287
953	5837	281
954	5843	275
955	5850	269
956	5856	263
957	5862	257
958	5868	250
959	5875	244
960	5882	238
961	5889	232
962	5896	226
963	5902	220
964	5909	214
965	5914	208
966	5921	202
967	5927	195
968	5933	189
969	5939	183
970	5945	177
971	5951	171
972	5958	165
973	5964	159
974	5970	153
975	5977	146
976	5982	140
977	5988	134
978	5994	128
979	6000	122
980	6006	116
981	6012	110
982	6018	104
983	6023	97
984	6029	91
985	6035	85
986	6041	79
987	6047	73
988	6053	67
989	6059	61
990	6064	55
991	6070	48
992	6076	42
993	6082	36
994	6088	30
995	6094	24
996	6100	18
997	6106	12
998	6112	6
999	6117	0
